"c1","c2","phrase","freq"
"doesn't","determine","doesn't determine",2
"wouldn't","fall","wouldn't fall",1
"not","d-","not d-",1
"won't","admit","won't admit",1
"not","bad","not bad",10
"can't","right","can't right",2
"couldn't","appear","couldn't appear",1
"hasn't","he","hasn't he",1
"not","proper","not proper",1
"shouldn't","admit","shouldn't admit",1
"not","run","not run",1
"shouldn't","feel","shouldn't feel",1
"not","appreciated","not appreciated",2
"doesn't","control","doesn't control",2
"not","integrated","not integrated",1
"not","divisible","not divisible",7
"didn't","lay","didn't lay",2
"isn't","exotic","isn't exotic",1
"hasn't","succeeded","hasn't succeeded",1
"didn't","hallucinate","didn't hallucinate",1
"not","necessary","not necessary",7
"not","tabled","not tabled",1
"not","by","not by",7
"not","interaction","not interaction",1
"shouldn't","sit","shouldn't sit",1
"weren't","mystics","weren't mystics",1
"not","fiction","not fiction",1
"doesn't","require","doesn't require",3
"weren't","nobody","weren't nobody",1
"can't","take","can't take",11
"doesn't","cause","doesn't cause",2
"not","thought","not thought",1
"isn't","valid","isn't valid",1
"not","disintegrating","not disintegrating",1
"doesn't","say","doesn't say",28
"don't","range","don't range",1
"not","meaningful","not meaningful",1
"not","reducing","not reducing",1
"didn't","live","didn't live",3
"not","brewing","not brewing",1
"not","confusing","not confusing",1
"didn't","assign","didn't assign",1
"isn't","what","isn't what",6
"not","that","not that",176
"not","e-","not e-",3
"wasn't","there","wasn't there",12
"aren't","learning","aren't learning",1
"doesn't","quite","doesn't quite",12
"not","that-","not that-",1
"not","talk","not talk",2
"doesn't","r-","doesn't r-",1
"not","where","not where",7
"not","flow","not flow",1
"haven't","handed","haven't handed",1
"not","exhaustive","not exhaustive",1
"wasn't","correct","wasn't correct",1
"not","abide","not abide",1
"not","exhaust","not exhaust",1
"won't","try","won't try",2
"not","specific","not specific",1
"hasn't","received","hasn't received",2
"didn't","create","didn't create",1
"not","pegged","not pegged",1
"not","insignificant","not insignificant",1
"don't","sometimes","don't sometimes",1
"don't","transcribe","don't transcribe",1
"not","convert","not convert",1
"haven't","dissolved","haven't dissolved",1
"don't","guess","don't guess",2
"doesn't","own","doesn't own",1
"not","closing","not closing",1
"can't","that","can't that",1
"not","sick","not sick",1
"haven't","already","haven't already",2
"wouldn't","vary","wouldn't vary",1
"aren't","through","aren't through",2
"don't","turn","don't turn",6
"isn't","thick","isn't thick",1
"can't","talk","can't talk",10
"aren't","connected","aren't connected",2
"not","socialist","not socialist",1
"aren't","mentioned","aren't mentioned",2
"can't","screw","can't screw",1
"not","spending","not spending",1
"wouldn't","raise","wouldn't raise",1
"not","running","not running",6
"wasn't","happening","wasn't happening",1
"isn't","acetyl","isn't acetyl",1
"not","f-","not f-",1
"didn't","end","didn't end",1
"don't","yes","don't yes",2
"doesn't","s-","doesn't s-",1
"don't","yet","don't yet",1
"wouldn't","answer","wouldn't answer",1
"not","do","not do",25
"haven't","a-","haven't a-",1
"wasn't","cobb","wasn't cobb",1
"isn't","p-c-r","isn't p-c-r",1
"wasn't","submontane","wasn't submontane",1
"don't","people","don't people",2
"wasn't","those","wasn't those",1
"not","valued","not valued",3
"weren't","successful","weren't successful",1
"not","borrowed","not borrowed",1
"wasn't","your","wasn't your",1
"don't","recall","don't recall",2
"not","recognize","not recognize",1
"weren't","actually","weren't actually",3
"wasn't","his","wasn't his",1
"can't","include","can't include",1
"don't-","i","don't- i",1
"shouldn't","make","shouldn't make",1
"hasn't","become","hasn't become",1
"not","theoretically","not theoretically",1
"wasn't","allocating","wasn't allocating",1
"haven't","heard","haven't heard",11
"couldn't","figure","couldn't figure",6
"wasn't","excited","wasn't excited",1
"didn't","they","didn't they",7
"not","adding","not adding",1
"didn't","think","didn't think",45
"don't","this","don't this",5
"aren't","still","aren't still",1
"doesn't","follow","doesn't follow",2
"didn't","exist","didn't exist",3
"not","disjunct","not disjunct",1
"not","g-","not g-",1
"don't","trip","don't trip",1
"can't","nitpick","can't nitpick",1
"not","everyone","not everyone",4
"not","one","not one",25
"not","live","not live",5
"not","missing","not missing",1
"not","correct","not correct",9
"can't","lower","can't lower",1
"not","transcribing","not transcribing",1
"hasn't","m-","hasn't m-",1
"doesn't","involve","doesn't involve",5
"not","reckless","not reckless",1
"didn't","sign","didn't sign",1
"not","export","not export",1
"not","mentioning","not mentioning",1
"not","beethoven's","not beethoven's",1
"doesn't","attack","doesn't attack",1
"aren't","almost","aren't almost",1
"not","central","not central",1
"wouldn't","bother","wouldn't bother",1
"didn't","draw","didn't draw",1
"not","identical","not identical",2
"don't","find","don't find",7
"not","capitalized","not capitalized",2
"wasn't","different","wasn't different",1
"haven't","asked","haven't asked",2
"wasn't","gonna","wasn't gonna",6
"didn't","stick","didn't stick",1
"not","wear","not wear",1
"don't","associate","don't associate",1
"not","large","not large",1
"can't","live","can't live",3
"haven't","introduced","haven't introduced",1
"not","suicides","not suicides",1
"not","either","not either",2
"not","backed","not backed",1
"can't","drink","can't drink",2
"doesn't","see","doesn't see",2
"can't","at","can't at",2
"doesn't","suddenly","doesn't suddenly",1
"not","beg","not beg",1
"didn't","let","didn't let",1
"not","binding","not binding",1
"don't","still","don't still",2
"isn't","exothermic","isn't exothermic",1
"not","hungry","not hungry",1
"doesn't","so","doesn't so",1
"not","falling","not falling",1
"didn't","you","didn't you",20
"couldn't","read","couldn't read",2
"wasn't","exactly","wasn't exactly",1
"not","serving","not serving",1
"not","online","not online",3
"isn't","worried","isn't worried",1
"not","everyone's","not everyone's",1
"doesn't","set","doesn't set",3
"doesn't","back","doesn't back",1
"didn't","or-","didn't or-",1
"not","modeling","not modeling",1
"can't","be","can't be",105
"didn't","nobody","didn't nobody",1
"not","ludic","not ludic",1
"isn't","superabundant","isn't superabundant",1
"not","them","not them",3
"wasn't","under","wasn't under",1
"doesn't","maybe","doesn't maybe",1
"not","hairy","not hairy",1
"not","then","not then",14
"not","suggesting","not suggesting",1
"not","consistently","not consistently",1
"not","cognitive","not cognitive",1
"wouldn't","uh","wouldn't uh",3
"not","let","not let",5
"doesn't","dissolve","doesn't dissolve",1
"not","abstract","not abstract",1
"don't","overdo","don't overdo",1
"don't","joke","don't joke",1
"wasn't","aware","wasn't aware",1
"weren't","hard","weren't hard",1
"not","spend","not spend",1
"not","i-","not i-",5
"not","you","not you",50
"not","attracted","not attracted",1
"not","claiming","not claiming",1
"not","confined","not confined",1
"not","go","not go",25
"not","they","not they",11
"aren't","on","aren't on",2
"not","within","not within",4
"not","prestigious","not prestigious",1
"doesn't","to","doesn't to",1
"doesn't","sh-","doesn't sh-",1
"not","trained","not trained",2
"not","irreducible","not irreducible",1
"shouldn't","be","shouldn't be",43
"not","complicated","not complicated",1
"won't","look","won't look",2
"not","window","not window",1
"shouldn't","teach","shouldn't teach",2
"won't","engage","won't engage",2
"not","raise","not raise",2
"don't","dare","don't dare",2
"can't","then","can't then",3
"not","spent","not spent",1
"aren't","addicts","aren't addicts",1
"didn't","turn","didn't turn",3
"doesn't","keep","doesn't keep",1
"aren't","sleeping","aren't sleeping",1
"doesn't","shift","doesn't shift",1
"not","working","not working",15
"wasn't","catie","wasn't catie",1
"not","fortuitous","not fortuitous",2
"wouldn't","worry","wouldn't worry",1
"couldn't","help","couldn't help",1
"doesn't","place","doesn't place",1
"not","he","not he",4
"can't","e-","can't e-",1
"can't","they","can't they",7
"wouldn't've","seen","wouldn't've seen",1
"aren't","told","aren't told",1
"won't","fear","won't fear",1
"doesn't","hurt","doesn't hurt",2
"can't","fit","can't fit",2
"didn't","intend","didn't intend",1
"not","cannot","not cannot",1
"don't","readily","don't readily",1
"not","j-","not j-",1
"not","draw","not draw",2
"not","uncommon","not uncommon",1
"doesn't","uh","doesn't uh",8
"can't","pin","can't pin",1
"can't","fix","can't fix",1
"wouldn't","occur","wouldn't occur",1
"won't","count","won't count",2
"doesn't","okay","doesn't okay",1
"not","prime","not prime",11
"not","hm","not hm",2
"didn't","focus","didn't focus",1
"didn't","predict","didn't predict",1
"aren't","good","aren't good",1
"doesn't","um","doesn't um",3
"can't","float","can't float",1
"not","conform","not conform",1
"haven't","been","haven't been",20
"isn't","just","isn't just",11
"weren't","all","weren't all",1
"weren't","saying","weren't saying",2
"not","torture","not torture",1
"isn't","they've","isn't they've",1
"not","exactly","not exactly",31
"don't","sing","don't sing",2
"not","sitting","not sitting",2
"didn't","this","didn't this",2
"isn't","satisfied","isn't satisfied",1
"weren't","square","weren't square",1
"isn't","based","isn't based",1
"wasn't","very","wasn't very",3
"didn't","pick","didn't pick",1
"not","converted","not converted",1
"won't","accept","won't accept",1
"couldn't","afford","couldn't afford",5
"not","bronze","not bronze",1
"can't","draw","can't draw",3
"wouldn't","we","wouldn't we",2
"not","if","not if",18
"doesn't","only","doesn't only",1
"weren't","working","weren't working",1
"aren't","operons","aren't operons",1
"not","malgos-","not malgos-",1
"not","waste","not waste",2
"not","wishing","not wishing",1
"doesn't","hav-","doesn't hav-",1
"can't","do","can't do",80
"not","dropping","not dropping",1
"not","translations","not translations",1
"not","which","not which",2
"couldn't","resist","couldn't resist",3
"doesn't","she","doesn't she",8
"not","in","not in",153
"not","having","not having",17
"hasn't","okay","hasn't okay",1
"haven't","f-","haven't f-",1
"not","handle","not handle",1
"didn't","at","didn't at",1
"not","delta's","not delta's",1
"not","is","not is",13
"wouldn't","call","wouldn't call",2
"not","it","not it",50
"not","p-cs","not p-cs",1
"hadn't","really","hadn't really",1
"can't","interbreed","can't interbreed",2
"don't","run","don't run",5
"don't","block","don't block",1
"didn't","find","didn't find",11
"shouldn't","f-","shouldn't f-",1
"not","neces-","not neces-",1
"not","spontaneous","not spontaneous",1
"not","everything","not everything",1
"didn't","didn't","didn't didn't",1
"not","wrong","not wrong",1
"shouldn't","do","shouldn't do",7
"can't","overlap","can't overlap",1
"can't","without","can't without",2
"doesn't","shy","doesn't shy",1
"weren't","aghast","weren't aghast",1
"didn't","be","didn't be",1
"don't","wanna","don't wanna",160
"won't","really","won't really",3
"not","turn","not turn",1
"wasn't","food","wasn't food",1
"shouldn't","appear","shouldn't appear",1
"didn't","d-","didn't d-",1
"isn't","derived","isn't derived",1
"not","anything","not anything",7
"not","feasible","not feasible",1
"weren't","and","weren't and",1
"aren't","t-","aren't t-",1
"not","accomplishing","not accomplishing",1
"can't","change","can't change",9
"not","big","not big",2
"not","accidentally","not accidentally",1
"haven't","increased","haven't increased",1
"not","balanced","not balanced",1
"isn't","that","isn't that",70
"doesn't","relate","doesn't relate",1
"can't","switch","can't switch",1
"didn't","ev-","didn't ev-",1
"didn't","doubt","didn't doubt",1
"wouldn't","understand","wouldn't understand",1
"can't","map","can't map",1
"not","roughly","not roughly",1
"couldn't","contact","couldn't contact",1
"not","flout","not flout",1
"didn't","sa-","didn't sa-",2
"not","u-of-m","not u-of-m",1
"haven't","technically","haven't technically",1
"weren't","there","weren't there",1
"don't","well","don't well",5
"doesn't","pa-","doesn't pa-",1
"haven't","finished","haven't finished",5
"not","phantom","not phantom",1
"not","goal","not goal",1
"can't","turn","can't turn",4
"not","clear","not clear",22
"doesn't","sit","doesn't sit",2
"shouldn't","prevent","shouldn't prevent",1
"not","elsewhere","not elsewhere",1
"not","via","not via",1
"don't","move","don't move",5
"not","in-range","not in-range",1
"not","withstand","not withstand",1
"doesn't","interrupt","doesn't interrupt",1
"can't","fill","can't fill",1
"doesn't","have","doesn't have",146
"weren't","any","weren't any",6
"don't","everyone's","don't everyone's",1
"not","weft","not weft",1
"not","crisped","not crisped",2
"not","tea-","not tea-",1
"not","this","not this",31
"doesn't","hear","doesn't hear",1
"don't","everybody","don't everybody",1
"not","m-","not m-",4
"won't","care","won't care",1
"not","pick","not pick",2
"doesn't","heat","doesn't heat",1
"not","k-two-s-o-four","not k-two-s-o-four",1
"wouldn't","allow","wouldn't allow",2
"not","ev-","not ev-",1
"isn't","bound","isn't bound",1
"not","until","not until",1
"not","sa-","not sa-",1
"not","shared","not shared",2
"not","trading","not trading",1
"not","worry","not worry",6
"aren't","so","aren't so",3
"wouldn't","look","wouldn't look",1
"not","throw","not throw",1
"wasn't","yet","wasn't yet",2
"wouldn't","believe","wouldn't believe",1
"can't","solve","can't solve",1
"don't","deal","don't deal",3
"don't","forget","don't forget",17
"isn't","great","isn't great",2
"weren't","rated","weren't rated",1
"not","occur","not occur",7
"can't","press","can't press",1
"wasn't","wasn't","wasn't wasn't",4
"doesn't","negate","doesn't negate",1
"doesn't","react","doesn't react",1
"can't","this","can't this",2
"doesn't","fulfill","doesn't fulfill",3
"doesn't","but","doesn't but",3
"aren't","erotic","aren't erotic",1
"wasn't","like","wasn't like",16
"not","find","not find",2
"haven't","even","haven't even",9
"didn't","that'd","didn't that'd",1
"doesn't","buy","doesn't buy",1
"don't","coincide","don't coincide",1
"didn't","approve","didn't approve",1
"don't","divide","don't divide",1
"shouldn't","sell","shouldn't sell",1
"don't","end","don't end",1
"can't","estimate","can't estimate",2
"haven't","ever","haven't ever",2
"can't","go","can't go",31
"not","n-","not n-",2
"not","footsteps","not footsteps",1
"not","labels","not labels",1
"can't","join","can't join",1
"can't","there's","can't there's",1
"not","confound","not confound",1
"can't","speak","can't speak",4
"didn't","do","didn't do",63
"not","aggregating","not aggregating",1
"didn't","believe","didn't believe",6
"wasn't","black","wasn't black",1
"hadn't","done","hadn't done",2
"not","associated","not associated",1
"didn't","that's","didn't that's",1
"didn't","grow","didn't grow",1
"not","mere","not mere",1
"not","teaching","not teaching",1
"don't","name","don't name",1
"don't","know","don't know",1790
"wasn't","an","wasn't an",5
"not","expanding","not expanding",1
"haven't","yet","haven't yet",6
"not","continuous","not continuous",1
"can't","find","can't find",15
"doesn't","carry","doesn't carry",1
"wouldn't","explain","wouldn't explain",1
"weren't","understanding","weren't understanding",1
"don't","plug","don't plug",1
"don't","apply","don't apply",1
"not","our","not our",4
"not","approve","not approve",1
"can't","he","can't he",2
"wasn't","as","wasn't as",7
"not","worth","not worth",7
"not","out","not out",5
"wasn't","at","wasn't at",4
"don't","unders-","don't unders-",2
"not","more","not more",15
"not","willing","not willing",8
"weren't","white","weren't white",1
"aren't","messages","aren't messages",1
"not","me","not me",6
"can't","j-","can't j-",1
"didn't","say","didn't say",39
"not","tec-","not tec-",1
"not","plausible","not plausible",1
"doesn't","behave","doesn't behave",1
"wasn't","anti-male","wasn't anti-male",1
"not","o-","not o-",1
"doesn't","model","doesn't model",1
"aren't","uh","aren't uh",2
"doesn't","jive","doesn't jive",1
"wasn't","clearly","wasn't clearly",1
"not","ex-","not ex-",1
"not","mm","not mm",1
"not","split","not split",1
"can't","span","can't span",1
"doesn't","change","doesn't change",21
"not","someone's","not someone's",1
"aren't","um","aren't um",1
"didn't","date","didn't date",1
"wasn't","what","wasn't what",5
"can't","teach","can't teach",2
"weren't","an","weren't an",1
"weren't","gonna","weren't gonna",5
"didn't","explain","didn't explain",4
"wouldn't","expect","wouldn't expect",1
"don't","themselves","don't themselves",1
"not","supportive","not supportive",1
"weren't","as","weren't as",2
"wasn't","checked","wasn't checked",2
"weren't","at","weren't at",2
"not","my","not my",19
"can't","function","can't function",1
"don't","enjoy","don't enjoy",2
"can't","quantify","can't quantify",1
"not","afraid","not afraid",2
"not","say","not say",14
"not","separations","not separations",1
"can't","if","can't if",2
"isn't","shrinkwrap","isn't shrinkwrap",1
"not","english","not english",2
"wasn't","based","wasn't based",1
"didn't","matter","didn't matter",7
"not","they're","not they're",9
"can't","for","can't for",2
"can't","drive","can't drive",2
"can't","in","can't in",2
"doesn't","fatigue","doesn't fatigue",1
"not","p-","not p-",1
"not","explain","not explain",2
"isn't","actually","isn't actually",2
"won't","make","won't make",5
"isn't","perfectly","isn't perfectly",1
"don't","let","don't let",10
"can't","complain","can't complain",1
"can't","count","can't count",3
"haven't","received","haven't received",1
"not","no","not no",13
"can't","it","can't it",8
"won't","necessarily","won't necessarily",1
"don't","you","don't you",158
"haven't","touched","haven't touched",1
"wouldn'ta","been","wouldn'ta been",2
"not","absolutely","not absolutely",4
"weren't","under","weren't under",1
"didn't","well","didn't well",1
"don't","hab-","don't hab-",1
"won't","seek","won't seek",1
"isn't","they","isn't they",1
"not","own","not own",1
"can't","prove","can't prove",7
"wasn't","obvious","wasn't obvious",1
"wasn't","changing","wasn't changing",1
"didn't","precipitate","didn't precipitate",1
"not","allow","not allow",3
"not","convinced","not convinced",5
"not","believed","not believed",1
"isn't","what's","isn't what's",1
"not","grow","not grow",1
"aren't","aren't","aren't aren't",3
"weren't","able","weren't able",3
"couldn't","stomach","couldn't stomach",1
"shouldn't","it","shouldn't it",3
"not","motivated","not motivated",1
"not","cells","not cells",1
"not","of","not of",7
"not","re-weight","not re-weight",1
"isn't","changed","isn't changed",1
"not","oh","not oh",1
"aren't","we","aren't we",13
"isn't","included","isn't included",1
"not","occupied","not occupied",1
"didn't","go","didn't go",22
"not","on","not on",23
"didn't","surprise","didn't surprise",1
"not","clearly","not clearly",3
"not","their","not their",9
"doesn't","shine","doesn't shine",1
"wouldn't","lose","wouldn't lose",1
"can't","survive","can't survive",1
"not","or","not or",10
"didn't","deal","didn't deal",1
"haven't","discussed","haven't discussed",2
"not","concern","not concern",1
"not","happy","not happy",5
"don't","professors","don't professors",1
"wasn't","f-","wasn't f-",1
"not","start","not start",1
"not","zero","not zero",7
"not","calculating","not calculating",1
"can't","grow","can't grow",1
"hasn't","um","hasn't um",1
"not","structurally","not structurally",1
"not","checked","not checked",2
"not","obligated","not obligated",1
"haven't","mentioned","haven't mentioned",2
"isn't","giving","isn't giving",1
"can't","emphasize","can't emphasize",3
"doesn't","stop","doesn't stop",2
"didn't","he","didn't he",9
"not","agreeing","not agreeing",1
"not","worried","not worried",4
"isn't","not","isn't not",1
"haven't","it's","haven't it's",3
"doesn't","suggest","doesn't suggest",1
"don't","does","don't does",2
"not","something","not something",22
"haven't","spoken","haven't spoken",1
"didn't","know","didn't know",130
"didn't","see","didn't see",27
"not","ps","not ps",1
"not","threatening","not threatening",1
"hasn't","reached","hasn't reached",4
"wasn't","g-","wasn't g-",1
"doesn't","explore","doesn't explore",1
"can't","spread","can't spread",1
"not","desire","not desire",1
"wasn't","bad","wasn't bad",1
"didn't","underst-","didn't underst-",1
"not","through","not through",1
"not","align","not align",1
"aren't","transitional","aren't transitional",2
"not","represented","not represented",1
"not","obvious","not obvious",5
"doesn't","lack","doesn't lack",1
"not","assigned","not assigned",1
"not","guarantee","not guarantee",2
"not","well","not well",9
"didn't","submit","didn't submit",1
"not","influenced","not influenced",2
"doesn't","crawford","doesn't crawford",1
"not","move","not move",1
"didn't","set","didn't set",2
"wasn't","great","wasn't great",2
"didn't","you're","didn't you're",2
"don't","randomly","don't randomly",2
"don't","work","don't work",14
"didn't","sex","didn't sex",1
"not","point","not point",1
"not","relating","not relating",1
"not","state","not state",1
"not","generation","not generation",2
"not","see","not see",18
"not","low","not low",1
"not","s-","not s-",4
"weren't","bearing","weren't bearing",1
"didn't","in","didn't in",1
"haven't","used","haven't used",1
"hadn't","actually","hadn't actually",1
"not","sufficient","not sufficient",3
"not","exa-","not exa-",1
"isn't","nanometers","isn't nanometers",1
"not","exchanging","not exchanging",1
"didn't","is","didn't is",1
"didn't","it","didn't it",14
"not","acetyl","not acetyl",1
"not","dead","not dead",3
"can't","move","can't move",5
"not","behave","not behave",2
"don't","lie","don't lie",1
"not","deal","not deal",1
"not","sex","not sex",1
"not","nuclear","not nuclear",1
"wasn't","standing","wasn't standing",1
"can't","who","can't who",1
"not","no-as-","not no-as-",2
"shouldn't","come","shouldn't come",1
"not","change","not change",1
"wasn't","subject","wasn't subject",1
"not","dissolve","not dissolve",1
"don't","tell","don't tell",9
"not","they've","not they've",1
"not","protected","not protected",4
"isn't","integrated","isn't integrated",1
"won't","touch","won't touch",1
"can't","happen","can't happen",5
"isn't","singular","isn't singular",1
"not","t-","not t-",2
"weren't","alive","weren't alive",1
"mightn't","it","mightn't it",1
"not","married","not married",1
"wouldn't","make","wouldn't make",6
"didn't","","",NA
"","didn't ","",NA
"","43","",NA
"not","sorted","not sorted",2
"not","cover","not cover",3
"isn't","we'll","isn't we'll",1
"not","sh-","not sh-",1
"haven't","studied","haven't studied",1
"isn't","this","isn't this",15
"not","coordinates","not coordinates",1
"isn't","offensive","isn't offensive",2
"don't","shoot","don't shoot",1
"don't","mirror","don't mirror",1
"won't","at","won't at",1
"not","claire","not claire",1
"didn't","wanna","didn't wanna",19
"can't","imagine","can't imagine",9
"didn't","circle","didn't circle",1
"not","incoherent","not incoherent",1
"not","attributed","not attributed",1
"aren't","usually","aren't usually",1
"haven't","said","haven't said",2
"not","objecting","not objecting",1
"wouldn't","show","wouldn't show",1
"didn't","wor-","didn't wor-",1
"not","name","not name",1
"not","know","not know",12
"can't","mix","can't mix",1
"can't","win","can't win",1
"not","area","not area",1
"wasn't","just","wasn't just",10
"not","modeled","not modeled",2
"couldn't","you've","couldn't you've",1
"not","rushing","not rushing",1
"not","unexpected","not unexpected",1
"not","universal","not universal",1
"doesn't","develop","doesn't develop",1
"couldn't","even","couldn't even",5
"isn't","determined","isn't determined",1
"won't","be","won't be",56
"can't","distinguish","can't distinguish",2
"not","justify","not justify",2
"don't","communicate","don't communicate",1
"not","determine","not determine",1
"don't","cite","don't cite",1
"not","forgetting","not forgetting",1
"don't","notice","don't notice",3
"not","so","not so",113
"haven't","sorted","haven't sorted",1
"wouldn't","pass","wouldn't pass",1
"wasn't","he","wasn't he",6
"not","compared","not compared",1
"didn't","she","didn't she",5
"can't","know","can't know",4
"not","aaron's","not aaron's",1
"didn't","deep","didn't deep",1
"not","derived","not derived",2
"doesn't","spread","doesn't spread",2
"not","manage","not manage",1
"wasn't","warm","wasn't warm",1
"aren't","punishing","aren't punishing",1
"not","experiencing","not experiencing",1
"haven't","left","haven't left",1
"not","experience","not experience",1
"don't","tend","don't tend",2
"not","including","not including",3
"weren't","black","weren't black",1
"can't","of","can't of",2
"not","wood","not wood",1
"isn't","air","isn't air",1
"not","factored","not factored",1
"don't","our","don't our",2
"not","migrate","not migrate",1
"ain't","got","ain't got",2
"not","subject","not subject",1
"not","five","not five",4
"not","account","not account",1
"haven't","randomized","haven't randomized",1
"not","invoking","not invoking",1
"hadn't","reached","hadn't reached",2
"not","she","not she",3
"not","v-","not v-",1
"couldn't","answer","couldn't answer",2
"not","triangulated","not triangulated",1
"not","convincing","not convincing",1
"wouldn't","really","wouldn't really",7
"don't","base-pair","don't base-pair",1
"can't","study","can't study",4
"not","to","not to",158
"wouldn't","there","wouldn't there",2
"wasn't","if","wasn't if",1
"not","alike","not alike",1
"can't","put","can't put",7
"wouldn't","your","wouldn't your",1
"not","uplifting","not uplifting",1
"doesn't","give","doesn't give",9
"aren't","why","aren't why",1
"wasn't","poor","wasn't poor",1
"doesn't","finish","doesn't finish",1
"isn't","al-","isn't al-",1
"wasn't","in","wasn't in",10
"doesn't","fit","doesn't fit",8
"doesn't","read","doesn't read",1
"not","preoccupied","not preoccupied",1
"wasn't","that","wasn't that",14
"didn't","work","didn't work",31
"not","meadowlarks","not meadowlarks",1
"isn't","chromate","isn't chromate",1
"doesn't","extend","doesn't extend",2
"wasn't","it","wasn't it",17
"not","offend","not offend",1
"didn't","sit","didn't sit",1
"doesn't","ma-","doesn't ma-",1
"don't","say","don't say",21
"not","atypical","not atypical",1
"didn't","incorporate","didn't incorporate",1
"didn't","a","didn't a",1
"not","mistaken","not mistaken",5
"didn't","expand","didn't expand",1
"can't","r-","can't r-",2
"doesn't","right","doesn't right",2
"weren't","lacking","weren't lacking",1
"don't","always","don't always",13
"not","uh","not uh",29
"doesn't","happen","doesn't happen",23
"not","w-","not w-",3
"not","rotating","not rotating",1
"not","um","not um",36
"didn't","i","didn't i",36
"not","western","not western",1
"didn't","mention","didn't mention",11
"won't","open","won't open",1
"not","french","not french",1
"haven't","r-","haven't r-",1
"not","up","not up",3
"won't","do","won't do",16
"didn't","apply","didn't apply",2
"not","us","not us",1
"hasn't","absorbed","hasn't absorbed",1
"weren't","in","weren't in",6
"can't","overemphasize","can't overemphasize",1
"not","i'll","not i'll",4
"don't","delineate","don't delineate",1
"ain't","done","ain't done",1
"not","pa-","not pa-",1
"won't","print","won't print",1
"couldn't","quite","couldn't quite",1
"isn't","anything","isn't anything",1
"wasn't","you","wasn't you",2
"can't","people","can't people",1
"not","discuss","not discuss",1
"didn't","improve","didn't improve",1
"not","carrying","not carrying",1
"hasn't","read","hasn't read",2
"didn't","tell","didn't tell",12
"don't","own","don't own",5
"didn't","stress","didn't stress",1
"don't","parents","don't parents",1
"not","breeding","not breeding",1
"aren't","equal","aren't equal",2
"not","homework","not homework",1
"didn't","but","didn't but",3
"doesn't","hold","doesn't hold",5
"can't","s-","can't s-",2
"can't","violate","can't violate",2
"doesn't","help","doesn't help",7
"shouldn't","take","shouldn't take",5
"didn't","answer","didn't answer",3
"didn't","buy","didn't buy",1
"not","accessible","not accessible",1
"aren't","hard","aren't hard",1
"not","monophyletic","not monophyletic",4
"didn't","no","didn't no",1
"not","ninety-eight","not ninety-eight",1
"not","does","not does",1
"haven't","s-","haven't s-",1
"wouldn't","all","wouldn't all",1
"doesn't","includes","doesn't includes",1
"not","rotation","not rotation",1
"wasn't","planning","wasn't planning",1
"didn't","sound","didn't sound",1
"doesn't","sw-","doesn't sw-",1
"couldn't","bring","couldn't bring",1
"wasn't","entirely","wasn't entirely",1
"not","were","not were",1
"won't","follow","won't follow",1
"hasn't","worked","hasn't worked",1
"hadn't","you","hadn't you",1
"can't","assume","can't assume",4
"shouldn't","why","shouldn't why",1
"not","random","not random",2
"aren't","materializing","aren't materializing",1
"won't","some","won't some",1
"isn't","all","isn't all",4
"haven't","you","haven't you",5
"not","but","not but",39
"can't","re","can't re",1
"not","asking","not asking",9
"not","match","not match",2
"don't","include","don't include",2
"weren't","peasants","weren't peasants",1
"not","jennings","not jennings",1
"not","buy","not buy",2
"couldn't","all","couldn't all",1
"not","houseplants","not houseplants",1
"not","true","not true",29
"not","we","not we",14
"can't","t-","can't t-",1
"not","communicated","not communicated",1
"not","steel","not steel",1
"don't","deserve","don't deserve",2
"not","work","not work",17
"not","necessarily","not necessarily",104
"not","noticed","not noticed",1
"shouldn't","that","shouldn't that",2
"wasn't","possible","wasn't possible",2
"not","y-","not y-",1
"haven't","spent","haven't spent",1
"not","gene","not gene",1
"won't","h-","won't h-",1
"not","watch","not watch",1
"don't","mind","don't mind",15
"shouldn't","talk","shouldn't talk",1
"not","sanction","not sanction",1
"won't","worry","won't worry",2
"not","appreciate","not appreciate",3
"doesn't","exothermic","doesn't exothermic",1
"not","ideal","not ideal",1
"not","replicated","not replicated",1
"didn't","re-z-score","didn't re-z-score",1
"not","guaranteed","not guaranteed",3
"not","far","not far",3
"not","gone","not gone",1
"aren't","okay","aren't okay",1
"not","u-s","not u-s",1
"couldn't","un-","couldn't un-",1
"won't","occur","won't occur",1
"can't","self-center","can't self-center",1
"not","again","not again",3
"hadn't","died","hadn't died",1
"won't","like","won't like",3
"not","organisms","not organisms",1
"isn't","indeed","isn't indeed",1
"can't","work","can't work",4
"not","sparrows","not sparrows",1
"doesn't","fly","doesn't fly",1
"aren't","playing","aren't playing",1
"not","there","not there",47
"not","repeating","not repeating",1
"don't","experience","don't experience",3
"can't","u-","can't u-",1
"not","pay","not pay",3
"can't","touch","can't touch",1
"aren't","quite","aren't quite",1
"isn't","well","isn't well",1
"not","tell","not tell",4
"can't","so","can't so",1
"not","capable","not capable",1
"not","told","not told",3
"won't","i-","won't i-",1
"aren't","present","aren't present",1
"not","hanging","not hanging",2
"don't","see","don't see",97
"won't","go","won't go",20
"wasn't","me","wasn't me",5
"not","significant","not significant",5
"not","newspapers","not newspapers",1
"not","faithful","not faithful",1
"isn't","and","isn't and",1
"not","generally","not generally",2
"not","brain","not brain",1
